metric,n,n_dropped_missing,assistive_mean,assistive_sd,assistive_ci_lo,assistive_ci_hi,baseline_mean,baseline_sd,baseline_ci_lo,baseline_ci_hi,delta_assistive_minus_baseline,wilcoxon_W,p_value,effect_r,effect_r_ci_lo,effect_r_ci_hi,below_bonferroni_alpha_.01,note
SUS,9,0,75.0,18.615256586407227,60.69104711128612,89.30895288871389,58.888888888888886,19.596626693841408,43.82558815820534,73.95218961957242,16.111111111111114,7.0,0.07421875,0.5950874968117744,-0.11414585395408458,0.9025227249955987,False,
TLX_Load,9,0,2.5277777777777777,1.0785149254620654,1.6987578184461325,3.3567977371094226,3.8055555555555554,1.6619725562649275,2.5280503597746353,5.083060751336475,-1.2777777777777777,3.0,0.078125,-0.5872234701210224,-0.9002561961433627,0.12606017486513382,False,
TLX_Perf,9,0,5.111111111111111,1.3642254619787415,4.062474592219846,6.159747630002375,4.666666666666667,1.6583123951776997,3.3919749197533005,5.9413584135800335,0.44444444444444375,1.5,0.375,0.29571551967295867,-0.458439654430792,0.8022771406610804,False,
UX,9,0,5.511111111111111,0.831330927555995,4.872093592222031,6.150128630000191,4.622222222222223,1.491457154746473,3.4757867667804874,5.768657677663958,0.8888888888888884,1.5,0.09375,0.5586465742578146,-0.1676895008521656,0.8918745241201046,False,
Comp,9,0,3.5555555555555554,0.5833333333333334,3.1071658625991896,4.003945248511921,3.0555555555555554,0.6821127309893709,2.531237296109923,3.5798738150011875,0.5,3.0,0.09375,0.5586465742578146,-0.1676895008521656,0.8918745241201046,False,
